#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     450   -4.514   -0.414   -6.008  -10.064    4.525
     451   -1.760    1.770   -4.126   -7.765    3.228
     452   -5.435   -1.128   -5.708   -5.895    4.400
     453   -8.054    0.307   -3.249   -6.028    3.002
     454   -5.711    0.333   -6.296  -10.730    1.771
     455   -0.777    0.666   -8.566   -8.588    5.027
     456    0.427   -3.562  -15.203  -12.207    2.617
     457    0.967   -0.916  -21.989   -8.216    3.608
     458   -3.815   -3.336  -13.611   -8.330    4.430
     459   -8.280   -1.166   -7.877   -9.293    5.802
     460   -4.255   -0.911   -4.994  -12.026    2.267
     461    2.476    3.306    0.891  -10.031    0.773
     462   -1.094    2.460   -1.172   -8.036    1.516
     463   -1.304    3.298   -0.295   -5.807    6.239
     464   -2.497    6.648    0.506   -9.792   -0.672
     465   -2.487    2.503    0.974  -12.643    2.843
     466   -0.345    2.427   -4.135  -13.214    2.836
     467    1.419    1.619   -4.006  -11.741    6.731
     468    3.014    3.236    4.856  -14.161    1.625
     469   -3.066    3.340    2.201  -12.503    1.495
     470    1.961    1.626   -5.112   -9.050    1.231
     471    1.336   -0.897   -5.998  -13.997    2.427
     472    3.479    1.807    1.613   -9.922    2.993
     473    7.514    0.184   -3.710  -12.289    6.145
     474    1.053   -1.655   -8.951  -12.020    3.183
     475    0.325    1.229   -9.436  -12.449    4.679
     476   -1.098    0.620   -8.072  -11.071    6.602
     477    1.733    0.513   -5.465   -8.548    3.978
     478    0.799   -1.901   -5.595   -9.288    4.874
     479    4.255   -1.861   -8.018  -12.820    6.184
     480    6.158   -0.297  -13.497  -11.417    0.239
     481    4.410    0.085  -11.187  -11.010    6.085
     482    7.231    2.034   -7.597  -11.403    2.197
     483   -0.379   -1.481  -15.285  -10.449    0.825
     484    1.219   -0.395  -11.140  -10.737    2.941
     485    7.989   -0.934  -13.879  -14.658    3.915
     486   -0.403   -0.465  -11.755   -8.781    2.040
     487   -2.042   -0.999  -12.427  -10.393    1.915
     488   -3.851   -4.293   -9.416   -9.089    2.456
     489   -6.379   -4.230   -9.563   -5.692    3.708
     490   -8.554   -0.151  -15.993   -3.964   -2.355
     491   -3.562   -0.859  -16.206   -6.482   -1.432
     492    0.467   -0.214  -10.437  -11.461    1.716
     493    1.006    1.156  -14.481   -9.645    2.287
     494   -1.053   -0.244  -10.862   -8.977    6.258
     495   -7.368   -3.477  -14.559   -8.688    6.080
     496   -2.715   -1.831  -10.775   -3.786    5.487
     497    0.992    2.073  -17.009   -7.531    0.853
     498   -0.135   -0.632  -20.555   -8.333    0.092
     499   -2.299    0.338  -17.771   -7.989    3.637
     500    2.131    0.205  -14.698   -8.744    3.100
     501    1.111    0.428  -17.153   -5.068    0.437
     502    4.823    0.945  -13.225   -6.779    3.629
     503   -2.270    0.624  -12.395  -10.977    5.361
     504    4.673    1.720  -10.009   -9.725    3.904
     505    4.744    3.201   -4.055  -12.378    8.470
     506    0.266    0.129  -10.205  -13.874    6.230
     507    2.171   -0.633   -8.040  -13.901    5.983
     508   -1.556    0.724   -7.085  -10.235    2.934
     509   -0.378    0.489   -5.280  -10.485    1.795
     510    1.988    0.429   -3.096  -13.736    5.234
     511   -2.896   -0.212   -6.492  -11.655    1.009
     512   -1.534    2.707   -9.510   -8.775    0.773
     513    2.302    1.389   -5.995  -10.010    0.582
     514   -0.078    3.043   -2.998   -7.006    6.236
     515   -1.671    0.492   -6.244   -8.295    3.245
     516   -4.788    1.586   -3.890   -8.477    3.078
     517   -2.883    2.575   -9.872  -10.758    0.468
     518    2.204   -0.367   -9.076   -9.661    6.466
     519    6.387    3.847   -8.033  -11.305    3.759
     520    9.391    2.958   -7.826  -13.662    6.199
     521    0.154   -0.895   -6.883  -13.339    5.174
     522    3.973    0.668   -7.987   -9.978    1.628
     523    5.339    0.338   -4.287   -9.643    3.080
     524    2.112    3.492   -7.697   -9.338    2.938
     525    3.675   -0.333   -5.474  -12.439    2.882
     526    2.463    0.572   -8.366   -8.074    0.374
     527   10.917    1.782  -10.347  -12.396   -2.769
     528    7.719    2.364  -11.522  -13.615   -2.325
     529    3.303    2.040   -6.172  -12.855    5.283
     530    2.930    4.288   -1.290  -11.464    6.981
     531    3.732    4.438   -5.704   -6.555    1.336
     532    0.083    4.548   -5.264   -7.610    4.886
     533    6.770    1.965   -4.034  -10.823    8.547
     534    6.607    2.305   -6.293   -8.511    4.515
     535    3.362    3.451   -9.878   -6.998    5.392
     536    3.957   -0.826   -7.298   -6.852   -0.494
     537   -0.619   -0.875   -9.788   -3.974    3.201
     538   -0.153   -2.440   -3.325   -4.396    2.890
