#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     495    8.025    4.571   -7.524   -6.372   -2.458
     496   10.475    4.743   -5.291   -2.360   -2.364
     497    8.343    6.099   -7.663   -4.088   -0.056
     498   13.164    9.149   -7.994   -4.834   -1.600
     499   11.943   10.112   -8.908   -4.266    0.243
     500   12.296    7.749  -12.839    1.339    0.790
     501   12.108    5.872  -11.688   -1.950   -2.162
     502    9.663    9.067  -10.522   -5.241   -4.639
     503   10.694    8.910  -11.002   -1.600   -1.053
     504   10.757    7.408   -8.274   -3.992   -2.919
     505   10.626    7.037  -10.196   -0.968   -3.052
     506   12.304    6.178   -9.044   -5.936   -8.799
     507   13.218    6.778   -9.559   -6.542   -8.941
     508    9.905    4.792   -7.573   -1.308   -9.336
     509   11.650    7.352   -8.453   -2.910  -11.844
     510   12.301    8.080  -10.728   -3.418  -12.163
     511   11.554    8.319   -9.465   -0.984  -14.296
     512   13.958    9.158   -5.247    1.473  -12.447
     513   13.090    7.044  -10.483    2.078   -8.869
     514   13.913    6.167   -5.971   -4.691   -7.603
     515   12.580    7.897   -9.486    1.126   -6.758
     516   11.138    0.045   -8.992   -2.279   -6.660
     517    8.447    4.137  -11.076   -1.827   -5.513
     518   11.308    5.289  -11.102   -5.770   -8.065
     519    8.454    6.438  -12.566   -4.968  -10.475
     520    7.776    2.872  -11.630  -11.907  -10.567
     521    8.090    2.184  -11.841   -2.639  -10.955
     522    8.594    2.291   -8.890   -2.349  -11.011
     523   10.673    6.683  -12.503   -8.509   -3.232
     524   12.251    6.378  -12.023   -7.186   -0.642
     525   11.092   -1.484  -10.655   -7.525   -6.500
     526   11.855    1.246   -8.570  -10.135   -8.823
